icao24,callsign,time,lat,lon,altitude_ft,velocity_kts,heading_deg,on_ground,time_utc,alt_band
a798ad,WMN589,1773422210.0,33.2012,-97.9943,27675.0008856,357.09335999999996,289.3,False,2026-03-13 17:16:50+00:00,Transition
a234ef,ENY4095,1773422210.0,32.823,-97.2648,10750.000344,301.88376,339.64,False,2026-03-13 17:16:50+00:00,Terminal
a53473,N43408,1773422210.0,32.3976,-97.8602,4400.0001408,96.26688,235.15,False,2026-03-13 17:16:50+00:00,Low
abfac6,SWA2531,1773422210.0,33.4006,-97.0221,7275.0002328,300.11472,100.56,False,2026-03-13 17:16:50+00:00,Low
a3917e,N329TX,1773422210.0,32.8596,-97.32,1450.0000464,110.94408,207.95,False,2026-03-13 17:16:50+00:00,Low
a6a441,N527PN,1773422210.0,32.2313,-96.5301,11275.000360799999,356.76288,319.43,False,2026-03-13 17:16:50+00:00,Terminal
a0802e,N131PA,1773422210.0,32.8428,-96.2271,1525.0000488,108.1836,340.56,False,2026-03-13 17:16:50+00:00,Low
a48973,N3914Q,1773422210.0,32.0426,-96.6644,1150.0000367999999,114.85152,343.3,False,2026-03-13 17:16:50+00:00,Low
a45052,N3771L,1773422210.0,32.4769,-96.9001,1300.0000416,91.05696,321.24,False,2026-03-13 17:16:50+00:00,Low
ad311d,N9491L,1773422210.0,32.3499,-97.436,2000.000064,74.70792,242.06,False,2026-03-13 17:16:50+00:00,Low
abb58b,N8535G,1773422210.0,33.3954,-96.6886,3600.0001152,86.02199999999999,203.29,False,2026-03-13 17:16:50+00:00,Low
a9af67,CXK533,1773422210.0,32.6781,-97.0978,700.0000224,56.29824,167.69,False,2026-03-13 17:16:50+00:00,Low
a5e676,N48CD,1773422210.0,32.8794,-96.6897,1150.0000367999999,37.44144,124.11,False,2026-03-13 17:16:50+00:00,Low
aaa7b5,N786KD,1773422210.0,32.7576,-96.5302,475.0000152,76.0104,180.75,False,2026-03-13 17:16:50+00:00,Low
aaf70f,N8052A,1773422210.0,33.0978,-96.0643,1050.0000336,73.24992,231.1,False,2026-03-13 17:16:50+00:00,Low
a2ce8d,N280FW,1773422210.0,32.8376,-97.3637,850.0000272,116.11511999999999,172.08,False,2026-03-13 17:16:50+00:00,Low
a1fbe6,N227KC,1773422210.0,33.483,-96.4843,4750.000152,149.04648,196.37,False,2026-03-13 17:16:50+00:00,Low
a2c27e,SWA1274,1773422210.0,32.9187,-96.8995,2100.0000672,142.28135999999998,227.56,False,2026-03-13 17:16:50+00:00,Low
a3db0c,CNS33,1773422210.0,33.0154,-96.7568,2825.0000904,207.61919999999998,322.63,False,2026-03-13 17:16:50+00:00,Low
a52e50,AAL1908,1773422210.0,32.963,-97.0542,1525.0000488,129.10103999999998,182.22,False,2026-03-13 17:16:50+00:00,Low
a20a11,N230SA,1773422210.0,32.9651,-96.8347,875.0000279999999,68.54544,156.8,False,2026-03-13 17:16:50+00:00,Low
ad081a,N939LH,1773422210.0,32.6404,-96.8002,1900.0000608,125.71848,328.33,False,2026-03-13 17:16:50+00:00,Low
aa9d55,N783TA,1773422210.0,33.0553,-97.2023,900.0000288,62.208,355.39,False,2026-03-13 17:16:50+00:00,Low
a7c0c5,N599VV,1773422210.0,32.729,-97.4312,3650.0001168,118.07856,91.94,False,2026-03-13 17:16:50+00:00,Low
ac2bc6,SWA1061,1773422210.0,33.4437,-97.4082,10900.0003488,342.72720000000004,95.69,False,2026-03-13 17:16:50+00:00,Terminal
a988cc,SKW6335,1773422210.0,33.4656,-96.2392,14675.000469599998,324.12312,220.62,False,2026-03-13 17:16:50+00:00,Terminal
acd0ca,AAL1393,1773422210.0,32.803,-97.0526,3225.0001032,253.10879999999997,181.58,False,2026-03-13 17:16:50+00:00,Low
a1c4db,N213CB,1773422210.0,32.4699,-97.1474,2000.000064,152.5068,49.52,False,2026-03-13 17:16:50+00:00,Low
a18903,N19850,1773422210.0,32.4444,-97.7085,4025.0001288,69.12864,211.39,False,2026-03-13 17:16:50+00:00,Low
ab635d,SWA4623,1773422210.0,33.3607,-96.8092,4225.0001352,265.00608,102.2,False,2026-03-13 17:16:50+00:00,Low
ab1fa7,AAL5,1773422210.0,32.8375,-97.7144,17725.0005672,373.26743999999997,277.54,False,2026-03-13 17:16:50+00:00,Terminal
ab54ec,N8292D,1773422210.0,32.5558,-97.4713,3300.0001056,74.0664,272.32,False,2026-03-13 17:16:50+00:00,Low
a7299c,N5602V,1773422210.0,33.1108,-96.0852,1000.000032,83.63088,153.74,False,2026-03-13 17:16:50+00:00,Low
aa34d0,N757HY,1773422210.0,33.3966,-97.3243,3700.0001184,70.6644,153.07,False,2026-03-13 17:16:50+00:00,Low
a919b4,N686CA,1773422210.0,32.5804,-96.883,2300.0000735999997,119.71152,353.77,False,2026-03-13 17:16:50+00:00,Low
a1559d,N1850F,1773422210.0,32.5607,-96.3383,3650.0001168,131.04504,91.31,False,2026-03-13 17:16:50+00:00,Low
a7c85c,N600MK,1773422210.0,32.6197,-96.782,12575.0004024,251.20368,172.45,False,2026-03-13 17:16:50+00:00,Terminal
ae52aa,TANDM29,1773422210.0,32.731,-96.9748,450.0000144,32.25096,277.13,False,2026-03-13 17:16:50+00:00,Low
ade53c,CNS316,1773422210.0,32.9165,-97.0722,4000.000128,237.18744,277.75,False,2026-03-13 17:16:50+00:00,Low
a1074e,N1655F,1773422210.0,33.1698,-97.7653,3400.0001088,86.33304,251.77,False,2026-03-13 17:16:50+00:00,Low
ad3396,N95PC,1773422210.0,33.0586,-97.5889,22000.000704000002,224.16264,239.43,False,2026-03-13 17:16:50+00:00,Transition
a20132,N22808,1773422210.0,32.6688,-97.1107,1575.0000504,95.35319999999999,350.34,False,2026-03-13 17:16:50+00:00,Low
a5749c,N4501E,1773422210.0,32.9382,-97.5841,2525.0000808,105.73416,79.65,False,2026-03-13 17:16:50+00:00,Low
a74ae4,N5691R,1773422210.0,33.3137,-96.2534,2475.0000792,67.9428,227.39,False,2026-03-13 17:16:50+00:00,Low
a14f2f,N1837S,1773422210.0,32.9399,-96.271,41000.001312,451.8828,101.36,False,2026-03-13 17:16:50+00:00,High
a5c430,N4705Q,1773422210.0,33.3386,-97.1243,3000.0000959999998,84.21408,4.09,False,2026-03-13 17:16:50+00:00,Low
adcbdc,N98843,1773422210.0,32.4779,-97.2491,1475.0000472,79.62624,244.72,False,2026-03-13 17:16:50+00:00,Low
a3a9eb,AAL1746,1773422210.0,32.8513,-97.0975,35000.00112,480.34296,119.02,False,2026-03-13 17:16:50+00:00,High
a0237e,N108LZ,1773422210.0,33.0088,-96.1387,4900.0001568,140.95944,61.62,False,2026-03-13 17:16:50+00:00,Low
ac0e33,N876SC,1773422210.0,32.4335,-97.1017,3475.0001112,103.032,178.89,False,2026-03-13 17:16:50+00:00,Low
a7ea3f,N609SA,1773422210.0,32.9991,-96.5189,2900.0000928,126.57383999999999,264.56,False,2026-03-13 17:16:50+00:00,Low
a02eaf,N1101A,1773422210.0,32.949,-96.1741,18125.00058,373.87008,69.0,False,2026-03-13 17:16:50+00:00,Transition
ac00b1,SWA2651,1773422210.0,32.9241,-96.8045,3200.0001024,184.64112,313.46,False,2026-03-13 17:16:50+00:00,Low
ac6f9c,N900EM,1773422210.0,32.3391,-96.6858,40000.00128,422.0424,352.1,False,2026-03-13 17:16:50+00:00,High
a25ba7,EPI251,1773422210.0,32.9623,-96.775,2000.000064,106.39511999999999,85.15,False,2026-03-13 17:16:50+00:00,Low
a9dc3d,N734ZY,1773422210.0,33.2247,-97.1384,2525.0000808,118.02024,36.38,False,2026-03-13 17:16:50+00:00,Low
acac14,N9153W,1773422210.0,33.0776,-96.5776,3475.0001112,123.67728,149.91,False,2026-03-13 17:16:50+00:00,Low
a20258,UNKNOWN,1773422210.0,32.766,-97.6704,1575.0000504,83.74752,319.84,False,2026-03-13 17:16:50+00:00,Low
a6d0f0,N5383K,1773422210.0,32.4279,-97.3939,1675.0000536,101.53511999999999,63.69,False,2026-03-13 17:16:50+00:00,Low
a46430,N382RA,1773422210.0,33.4003,-97.2191,1750.0000559999999,84.29184,4.76,False,2026-03-13 17:16:50+00:00,Low
a52dbc,NWX432,1773422210.0,32.5921,-97.9628,4525.0001448,93.38976,313.26,False,2026-03-13 17:16:50+00:00,Low
ac1e22,N880DB,1773422210.0,32.7999,-97.1432,825.0000264,32.38704,171.12,False,2026-03-13 17:16:50+00:00,Low
a904e6,TRF688,1773422210.0,32.9517,-96.1329,1900.0000608,119.41991999999999,26.35,False,2026-03-13 17:16:50+00:00,Low
a63c08,N500XL,1773422210.0,32.6042,-97.1116,2225.0000711999996,185.72976,348.51,False,2026-03-13 17:16:50+00:00,Low
a64310,N502TJ,1773422210.0,32.9391,-96.5476,2400.0000768,124.55207999999999,304.2,False,2026-03-13 17:16:50+00:00,Low
a9903a,SKW6355,1773422210.0,32.7714,-97.1972,8050.0002576,267.3,272.57,False,2026-03-13 17:16:50+00:00,Low
a5bb0b,N469AA,1773422210.0,33.2566,-97.4458,2975.0000952,129.10103999999998,87.78,False,2026-03-13 17:16:50+00:00,Low
a4c7a3,N407LG,1773422210.0,32.8524,-97.7428,1775.0000568,121.15008,272.84,False,2026-03-13 17:16:50+00:00,Low
a11908,N17YP,1773422210.0,32.5297,-97.8044,4400.0001408,143.23392,266.8,False,2026-03-13 17:16:50+00:00,Low
a56acc,NWX448,1773422210.0,32.9841,-97.8663,6050.0001936,110.45808,47.94,False,2026-03-13 17:16:50+00:00,Low
a49a5b,N396PC,1773422210.0,32.4882,-96.8485,1850.0000592,97.66656,214.99,False,2026-03-13 17:16:50+00:00,Low
a4ea9d,N416CA,1773422210.0,32.6586,-96.8482,1650.0000528,114.11280000000001,2.51,False,2026-03-13 17:16:50+00:00,Low
a621f8,N49447,1773422210.0,32.6083,-97.8747,3500.0001119999997,84.50568,320.28,False,2026-03-13 17:16:50+00:00,Low
acf261,N933SC,1773422210.0,32.6939,-97.0271,1375.0000440000001,113.37407999999999,4.55,False,2026-03-13 17:16:50+00:00,Low
a20fa3,CXK619,1773422210.0,33.3394,-96.0535,4450.000142399999,96.46127999999999,250.63,False,2026-03-13 17:16:50+00:00,Low
a37313,N321LT,1773422210.0,32.9361,-97.2416,3450.0001104,168.4476,94.09,False,2026-03-13 17:16:50+00:00,Low
a4e1d5,N4131W,1773422210.0,33.1701,-96.5511,5425.0001735999995,157.05576000000002,54.59,False,2026-03-13 17:16:50+00:00,Low
ab4732,AAL127,1773422210.0,32.8597,-97.5418,12875.000412000001,375.40584,288.97,False,2026-03-13 17:16:50+00:00,Terminal
abe501,SWA2471,1773422210.0,32.1478,-96.6521,36000.001152,429.64344,210.8,False,2026-03-13 17:16:50+00:00,High
acc8d1,N9226Q,1773422210.0,32.3224,-97.683,1925.0000616,108.68903999999999,190.07,False,2026-03-13 17:16:50+00:00,Low
a49378,N394US,1773422210.0,33.2504,-97.1972,1425.0000456,5.50152,92.81,False,2026-03-13 17:16:50+00:00,Low
a3bc0b,N34MC,1773422210.0,32.1444,-96.9114,4525.0001448,143.89488,300.49,False,2026-03-13 17:16:50+00:00,Low
ac9b48,N911KE,1773422210.0,33.0228,-96.5054,2400.0000768,128.42064,289.56,False,2026-03-13 17:16:50+00:00,Low
a05b92,N122EP,1773422210.0,32.6587,-96.9574,3200.0001024,146.71367999999998,101.0,False,2026-03-13 17:16:50+00:00,Low
ac667a,N89878,1773422210.0,33.1254,-97.678,3000.0000959999998,75.17448,146.94,False,2026-03-13 17:16:50+00:00,Low
a5b59d,SWA1983,1773422210.0,32.8124,-96.8167,2150.0000688,188.19864,133.28,False,2026-03-13 17:16:50+00:00,Low
a9def3,N735PR,1773422210.0,32.7139,-97.6419,5700.0001824,113.78232,282.69,False,2026-03-13 17:16:50+00:00,Low
ad6cb1,TRF564,1773422210.0,32.7036,-96.2428,1500.0000479999999,118.83672,6.77,False,2026-03-13 17:16:50+00:00,Low
ac53f8,SWA1919,1773422210.0,32.4668,-97.0292,8950.0002864,297.1404,65.33,False,2026-03-13 17:16:50+00:00,Low
a146f1,SWA22,1773422210.0,32.8645,-96.8652,700.0000224,147.10247999999999,135.55,False,2026-03-13 17:16:50+00:00,Low
a791c0,AAL2369,1773422210.0,33.3649,-97.6102,10075.000322400001,299.62872,126.45,False,2026-03-13 17:16:50+00:00,Terminal
a91ab7,NKS1121,1773422210.0,32.936,-96.9142,9625.000307999999,256.02479999999997,0.22,False,2026-03-13 17:16:50+00:00,Low
a43357,N37VK,1773422210.0,32.1522,-97.0508,2875.0000919999998,135.38016,41.11,False,2026-03-13 17:16:50+00:00,Low
ac04d3,SWA546,1773422210.0,32.0316,-96.9758,35675.0011416,427.83552000000003,190.23,False,2026-03-13 17:16:50+00:00,High
a13501,AAL1514,1773422210.0,32.4024,-96.4694,18625.000595999998,361.37015999999994,315.56,False,2026-03-13 17:16:50+00:00,Transition
a97187,N7074V,1773422210.0,32.6443,-97.5034,3000.0000959999998,143.1756,111.73,False,2026-03-13 17:16:50+00:00,Low
a1c05d,UCA4331,1773422210.0,33.4909,-96.6879,32000.001024,455.5764,196.84,False,2026-03-13 17:16:50+00:00,High
a7eb0c,N6090F,1773422210.0,32.7138,-96.2671,400.0000128,62.0136,180.92,False,2026-03-13 17:16:50+00:00,Low
aa733b,SWA696,1773422210.0,32.6623,-96.5224,6275.000200799999,279.97488,318.91,False,2026-03-13 17:16:50+00:00,Low
a01129,N103PL,1773422210.0,32.1558,-97.1012,3900.0001248,162.81,26.25,False,2026-03-13 17:16:50+00:00,Low
a92ac4,N690AP,1773422210.0,32.696,-96.8667,825.0000264,81.00648,180.71,False,2026-03-13 17:16:50+00:00,Low
a31c16,N3QZ,1773422210.0,32.0356,-96.193,5900.0001888,132.25032,352.18,False,2026-03-13 17:16:50+00:00,Low
aa0a6e,SKW6433,1773422210.0,33.2646,-97.3137,4975.0001592,272.54879999999997,93.58,False,2026-03-13 17:16:50+00:00,Low
a06bd8,N126VA,1773422210.0,32.9571,-97.3188,1200.0000384,45.995039999999996,180.0,False,2026-03-13 17:16:50+00:00,Low
ab3dc3,UAL1350,1773422210.0,33.2261,-97.1219,4375.00014,241.52255999999997,131.81,False,2026-03-13 17:16:50+00:00,Low
a06d39,N1266U,1773422210.0,32.8322,-97.9839,3475.0001112,102.11832,284.17,False,2026-03-13 17:16:50+00:00,Low
ac6596,SWA1570,1773422210.0,32.3533,-96.0384,14450.0004624,337.8672,287.04,False,2026-03-13 17:16:50+00:00,Terminal
a5a106,N46198,1773422210.0,32.9394,-97.419,1050.0000336,56.60928,147.99,False,2026-03-13 17:16:50+00:00,Low
86831e,JAL11,1773422210.0,33.04,-97.8665,20350.0006512,394.90416,293.9,False,2026-03-13 17:16:50+00:00,Transition
a23d25,SWA3160,1773422210.0,33.2469,-96.7492,3950.0001264,259.34904,203.4,False,2026-03-13 17:16:50+00:00,Low
acb9c6,N919TC,1773422210.0,32.2839,-96.0679,4550.0001456,114.15168,348.89,False,2026-03-13 17:16:50+00:00,Low
a44983,UAL686,1773422210.0,32.2323,-97.3829,35000.00112,478.18512,133.64,False,2026-03-13 17:16:50+00:00,High
acf4c7,N934CR,1773422210.0,32.8646,-96.8652,750.0000239999999,103.24584,135.0,False,2026-03-13 17:16:50+00:00,Low
a9d6a5,N733ES,1773422210.0,33.2973,-97.3417,3550.0001136,58.68936,8.82,False,2026-03-13 17:16:50+00:00,Low
a7a9c5,JIA5037,1773422210.0,32.2721,-96.0568,24925.0007976,398.15064,271.44,False,2026-03-13 17:16:50+00:00,Transition
adb434,N982ST,1773422210.0,32.8538,-96.8645,600.0000192,78.77088,61.16,False,2026-03-13 17:16:50+00:00,Low
a9b193,N72338,1773422210.0,33.1448,-96.8727,1400.0000448,94.53672,6.07,False,2026-03-13 17:16:50+00:00,Low
aca94b,AAL1321,1773422210.0,32.7653,-97.1199,6200.0001984,264.384,260.86,False,2026-03-13 17:16:50+00:00,Low
a9d837,N733WU,1773422210.0,32.7141,-97.0467,850.0000272,63.04392,178.18,False,2026-03-13 17:16:50+00:00,Low
a9ab87,FFT1426,1773422210.0,32.9044,-97.0547,525.0000168,113.00472,180.0,False,2026-03-13 17:16:50+00:00,Low
aab5f3,N79CW,1773422210.0,32.9347,-96.6705,2425.0000775999997,164.92896,290.96,False,2026-03-13 17:16:50+00:00,Low
a28191,CXK337,1773422210.0,33.1494,-96.5653,2100.0000672,82.01736,89.3,False,2026-03-13 17:16:50+00:00,Low
acdbee,AAL2845,1773422210.0,32.8971,-97.0333,550.0000176,3.5964,56.31,False,2026-03-13 17:16:50+00:00,Low
a12215,N172RC,1773422210.0,33.2189,-97.4071,2375.000076,91.03752,358.74,False,2026-03-13 17:16:50+00:00,Low
a23b90,N243EH,1773422210.0,32.9712,-97.3305,1400.0000448,39.32712,172.69,False,2026-03-13 17:16:50+00:00,Low
a2b885,N2746C,1773422210.0,32.7787,-96.5294,1000.000032,56.4732,202.93,False,2026-03-13 17:16:50+00:00,Low
a18403,AAL2050,1773422210.0,32.9012,-97.0508,600.0000192,151.00992000000002,180.38,False,2026-03-13 17:16:50+00:00,Low
adbdf7,CAP4228,1773422210.0,33.1519,-96.406,2600.0000832,105.01488,289.47,False,2026-03-13 17:16:50+00:00,Low
adb260,N9818W,1773422210.0,33.0317,-96.2266,1900.0000608,97.33608,4.71,False,2026-03-13 17:16:50+00:00,Low
a001a9,N1SY,1773422210.0,32.7697,-96.3448,2300.0000735999997,116.11511999999999,262.08,False,2026-03-13 17:16:50+00:00,Low
a121ec,N172PM,1773422210.0,33.1991,-96.588,1100.0000352,56.045519999999996,182.05,False,2026-03-13 17:16:50+00:00,Low
a8fd3c,AAL896,1773422210.0,33.0237,-97.0256,2675.0000856,163.02384,180.7,False,2026-03-13 17:16:50+00:00,Low
ad14a3,AAL2671,1773422210.0,33.0479,-96.9209,7075.0002264,250.56215999999998,350.35,False,2026-03-13 17:16:50+00:00,Low
a90a29,N6816S,1773422210.0,33.3839,-96.5346,7475.000239200001,189.07344,101.9,False,2026-03-13 17:16:50+00:00,Low
a7f6bf,LXJ612,1773422210.0,33.2138,-97.793,43000.001376,493.67879999999997,121.92,False,2026-03-13 17:16:50+00:00,High
adb2bd,N982BT,1773422210.0,33.38,-97.352,4675.0001496,105.2676,284.3,False,2026-03-13 17:16:50+00:00,Low
a5198f,N428CF,1773422210.0,33.0438,-96.8379,775.0000248,9.992159999999998,126.87,False,2026-03-13 17:16:50+00:00,Low
a84057,N63017,1773422210.0,32.7118,-96.1248,2425.0000775999997,88.0632,268.05,False,2026-03-13 17:16:50+00:00,Low
a72078,SGE67,1773422210.0,32.9973,-97.4921,1500.0000479999999,63.51048,172.76,False,2026-03-13 17:16:50+00:00,Low
a06560,N1243S,1773422210.0,33.1937,-97.5407,2700.0000864000003,89.28792,355.5,False,2026-03-13 17:16:50+00:00,Low
ac9e2b,N912AT,1773422210.0,32.9423,-97.4336,1250.00004,62.421839999999996,144.78,False,2026-03-13 17:16:50+00:00,Low
a04b96,N118TB,1773422210.0,32.5203,-96.9081,1700.0000544,101.26296,214.95,False,2026-03-13 17:16:50+00:00,Low
a77b27,N581RS,1773422210.0,32.8645,-96.8651,725.0000232,120.21696,135.67,False,2026-03-13 17:16:50+00:00,Low
a9e8c8,N738AE,1773422210.0,33.1274,-96.3457,1500.0000479999999,129.02328,180.89,False,2026-03-13 17:16:50+00:00,Low
a72bda,JIA5406,1773422210.0,33.0662,-97.1547,5875.000188,236.91528,40.55,False,2026-03-13 17:16:50+00:00,Low
a234ef,ENY4095,1773422220.0,32.837,-97.2698,10900.0003488,320.17679999999996,345.53,False,2026-03-13 17:17:00+00:00,Terminal
a53473,N43408,1773422220.0,32.3951,-97.8644,4500.000144,87.09119999999999,235.76,False,2026-03-13 17:17:00+00:00,Low
abfac6,SWA2531,1773422220.0,33.3981,-97.0055,7075.0002264,299.12328,100.6,False,2026-03-13 17:17:00+00:00,Low
a3917e,N329TX,1773422220.0,32.854,-97.3236,1425.0000456,109.13616,207.27,False,2026-03-13 17:17:00+00:00,Low
a6a441,N527PN,1773422220.0,32.2435,-96.5422,10975.0003512,355.59648,319.91,False,2026-03-13 17:17:00+00:00,Terminal
a0802e,N131PA,1773422220.0,32.8477,-96.2292,1500.0000479999999,109.93319999999999,338.1,False,2026-03-13 17:17:00+00:00,Low
a48973,N3914Q,1773422220.0,32.0474,-96.6663,1125.000036,114.17111999999999,341.09,False,2026-03-13 17:17:00+00:00,Low
a45052,N3771L,1773422220.0,32.4786,-96.904,1200.0000384,77.6628,281.89,False,2026-03-13 17:17:00+00:00,Low
ad311d,N9491L,1773422220.0,32.3483,-97.4396,2000.000064,74.70792,242.06,False,2026-03-13 17:17:00+00:00,Low
abb58b,N8535G,1773422220.0,33.3914,-96.6908,3600.0001152,85.01111999999999,205.06,False,2026-03-13 17:17:00+00:00,Low
a9af67,CXK533,1773422220.0,32.6781,-97.0978,700.0000224,56.29824,167.69,False,2026-03-13 17:17:00+00:00,Low
a5e676,N48CD,1773422220.0,32.8782,-96.6878,1125.000036,39.832559999999994,128.88,False,2026-03-13 17:17:00+00:00,Low
aaa7b5,N786KD,1773422220.0,32.7576,-96.5302,475.0000152,76.0104,180.75,False,2026-03-13 17:17:00+00:00,Low
aaf70f,N8052A,1773422220.0,33.0978,-96.0643,1050.0000336,73.24992,231.1,False,2026-03-13 17:17:00+00:00,Low
a2ce8d,N280FW,1773422220.0,32.8376,-97.3637,850.0000272,116.11511999999999,172.08,False,2026-03-13 17:17:00+00:00,Low
a1fbe6,N227KC,1773422220.0,33.4753,-96.4871,4675.0001496,148.09392,196.48,False,2026-03-13 17:17:00+00:00,Low
a2c27e,SWA1274,1773422220.0,32.9139,-96.9046,2000.000064,133.4556,212.14,False,2026-03-13 17:17:00+00:00,Low
a3db0c,CNS33,1773422220.0,33.0231,-96.7637,2650.0000848,210.01032,323.13,False,2026-03-13 17:17:00+00:00,Low
a52e50,AAL1908,1773422220.0,32.957,-97.0543,1400.0000448,128.01239999999999,180.45,False,2026-03-13 17:17:00+00:00,Low
a3e233,N3498F,1773422220.0,32.5782,-96.7178,600.0000192,63.78264,138.81,False,2026-03-13 17:17:00+00:00,Low
a20a11,N230SA,1773422220.0,32.9619,-96.8325,1000.000032,74.64959999999999,129.02,False,2026-03-13 17:17:00+00:00,Low
ad081a,N939LH,1773422220.0,32.6453,-96.8037,1750.0000559999999,125.71848,328.33,False,2026-03-13 17:17:00+00:00,Low
a819f5,N621AA,1773422220.0,33.2018,-97.1487,2200.0000704,95.13936,50.12,False,2026-03-13 17:17:00+00:00,Low
aa9d55,N783TA,1773422220.0,33.0553,-97.2023,900.0000288,53.3628,347.01,False,2026-03-13 17:17:00+00:00,Low
a7c0c5,N599VV,1773422220.0,32.7289,-97.4249,3650.0001168,119.07,91.93,False,2026-03-13 17:17:00+00:00,Low
ac2bc6,SWA1061,1773422220.0,33.4419,-97.389,10950.0003504,338.0616,96.28,False,2026-03-13 17:17:00+00:00,Terminal
a988cc,SKW6335,1773422220.0,33.455,-96.2507,14475.000463199998,322.62624,223.24,False,2026-03-13 17:17:00+00:00,Terminal
acd0ca,AAL1393,1773422220.0,32.7913,-97.053,3675.0001176000005,256.122,181.57,False,2026-03-13 17:17:00+00:00,Low
a1c4db,N213CB,1773422220.0,32.4745,-97.1408,1900.0000608,153.53712000000002,50.82,False,2026-03-13 17:17:00+00:00,Low
a18903,N19850,1773422220.0,32.4412,-97.7106,4050.0001296,72.89999999999999,206.92,False,2026-03-13 17:17:00+00:00,Low
ab635d,SWA4623,1773422220.0,33.3579,-96.7948,4000.000128,264.63671999999997,103.77,False,2026-03-13 17:17:00+00:00,Low
ab1fa7,AAL5,1773422220.0,32.8397,-97.7345,17975.0005752,377.34984000000003,277.61,False,2026-03-13 17:17:00+00:00,Terminal
ab54ec,N8292D,1773422220.0,32.556,-97.4755,3300.0001056,74.10528,273.09,False,2026-03-13 17:17:00+00:00,Low
a7299c,N5602V,1773422220.0,33.1058,-96.0819,1000.000032,86.62464,148.7,False,2026-03-13 17:17:00+00:00,Low
aa34d0,N757HY,1773422220.0,33.3961,-97.324,3700.0001184,66.60144,138.65,False,2026-03-13 17:17:00+00:00,Low
a919b4,N686CA,1773422220.0,32.5866,-96.8838,2250.000072,124.20215999999999,356.77,False,2026-03-13 17:17:00+00:00,Low
a1559d,N1850F,1773422220.0,32.5605,-96.331,3775.0001207999994,131.00616,90.44,False,2026-03-13 17:17:00+00:00,Low
a7c85c,N600MK,1773422220.0,32.6078,-96.7802,12375.000396,248.22935999999999,172.36,False,2026-03-13 17:17:00+00:00,Terminal
ae52aa,TANDM29,1773422220.0,32.731,-96.9748,450.0000144,32.25096,277.13,False,2026-03-13 17:17:00+00:00,Low
ade53c,CNS316,1773422220.0,32.918,-97.0848,4225.0001352,227.13696,277.84,False,2026-03-13 17:17:00+00:00,Low
a1074e,N1655F,1773422220.0,33.1698,-97.7653,3400.0001088,86.02199999999999,252.41,False,2026-03-13 17:17:00+00:00,Low
ad3396,N95PC,1773422220.0,33.0533,-97.5995,22000.000704000002,225.54288,239.34,False,2026-03-13 17:17:00+00:00,Transition
a20132,N22808,1773422220.0,32.6727,-97.1113,1475.0000472,89.67672,352.95,False,2026-03-13 17:17:00+00:00,Low
a5749c,N4501E,1773422220.0,32.939,-97.578,2525.0000808,103.7124,83.35,False,2026-03-13 17:17:00+00:00,Low
a74ae4,N5691R,1773422220.0,33.3116,-96.2564,2475.0000792,73.24992,231.1,False,2026-03-13 17:17:00+00:00,Low
a14f2f,N1837S,1773422220.0,32.9357,-96.2467,41000.001312,451.1052,101.51,False,2026-03-13 17:17:00+00:00,High
a5c430,N4705Q,1773422220.0,33.3426,-97.124,3000.0000959999998,86.15808,3.33,False,2026-03-13 17:17:00+00:00,Low
adcbdc,N98843,1773422220.0,32.4755,-97.2501,1525.0000488,72.14184,133.88,False,2026-03-13 17:17:00+00:00,Low
a3a9eb,AAL1746,1773422220.0,32.841,-97.0754,35000.00112,480.34296,119.02,False,2026-03-13 17:17:00+00:00,High
a0237e,N108LZ,1773422220.0,33.0121,-96.1315,4900.0001568,140.08464,61.42,False,2026-03-13 17:17:00+00:00,Low
ac0e33,N876SC,1773422220.0,32.4284,-97.1017,3525.0001128000004,105.01488,179.45,False,2026-03-13 17:17:00+00:00,Low
a7ea3f,N609SA,1773422220.0,32.9986,-96.5259,2900.0000928,127.58471999999999,264.6,False,2026-03-13 17:17:00+00:00,Low
a02eaf,N1101A,1773422220.0,32.9551,-96.1552,18600.0005952,377.0388,69.02,False,2026-03-13 17:17:00+00:00,Transition
ac00b1,SWA2651,1773422220.0,32.9293,-96.8125,3125.0001,173.91024,303.51,False,2026-03-13 17:17:00+00:00,Low
ac6f9c,N900EM,1773422220.0,32.3582,-96.6888,40000.00128,421.49807999999996,352.64,False,2026-03-13 17:17:00+00:00,High
a25ba7,EPI251,1773422220.0,32.9627,-96.7685,1975.0000632,109.17504,86.85,False,2026-03-13 17:17:00+00:00,Low
a9dc3d,N734ZY,1773422220.0,33.2285,-97.1342,2500.00008,126.06839999999998,41.78,False,2026-03-13 17:17:00+00:00,Low
acac14,N9153W,1773422220.0,33.0728,-96.5743,3625.000116,120.08088000000001,150.02,False,2026-03-13 17:17:00+00:00,Low
a20258,UNKNOWN,1773422220.0,32.766,-97.6704,1575.0000504,83.74752,319.84,False,2026-03-13 17:17:00+00:00,Low
a6d0f0,N5383K,1773422220.0,32.4271,-97.3901,1700.0000544,78.30432,155.07,False,2026-03-13 17:17:00+00:00,Low
a46430,N382RA,1773422220.0,33.4154,-97.218,1925.0000616,85.10832,2.69,False,2026-03-13 17:17:00+00:00,Low
